level,type,Region/economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
5,country,Finland,644.66942,-207.78614,397.787,973.90778,1648.51934,1021.20023,1087.64318,2093.28161,12236.38857,4610.27117,8834.04736,3731.52948,8046.02136,3318.95841,2826.51965,4750.16167,7651.70779,12451.03594,-1143.99971,717.61065,7358.83292,2549.85091,4153.95724,-106.0004,18571.06798,2109.17564,8581.83348,2863.72725,-2171.77705,13456.08748,-1578.51574,13290.45505,5794.92515,-1675.96557
5,country,France,16506.19332,16166.08715,18699.12261,16620.00232,15680.25694,23562.49673,21745.72761,23381.63966,31238.05338,46544.58054,27495.01566,15946.77274,21514.45673,7855.00895,-2573.57968,33228.72581,25325.74036,63499.56613,37593.42586,30733.48911,13890.09397,31641.9056,16062.05367,27310.48542,522.48482,45816.19882,23903.63286,29300.0192,34671.3401,20425.81464,13173.60475,34109.42006,75978.91376,42031.59465
5,country,Germany,2962.36376,4727.24972,-2089.39903,368.23482,7134.50909,12024.48487,6572.64565,12244.63398,24593.23623,56075.69354,198279.3394,26401.9964,53522.33118,32376.76545,-10192.1787,47449.79605,55654.56049,80212.48142,8127.02823,23805.5965,65642.98817,67513.66432,28181.12436,12776.7873,-471.21279,20339.54177,22679.64734,48389.88602,72022.40272,52683.66104,69954.43778,51217.83242,27411.28068,36697.68825
5,country,Greece,1005,1135,1144,977,981,1053,1058,984,71.2,561.9,1108.16289,1589.33701,39.55579,1275.23323,2101.65577,623.29006,5354.88703,2111.30546,4498.62673,2436.3646,329.91411,1143.13553,1739.70248,2818.24822,2686.83488,1268.16098,2765.15345,3484.81264,3973.3293,5019.20683,3212.50568,6328.1892,8451.3955,5430.14035
5,country,Hungary,553.809,1470.419,1477.004,2442.954,1143.371,5103.4866,3299.57615,4167.31767,3334.86115,3311.93611,2764.06182,3936.04559,2993.5654,2137.40142,4265.73249,7708.95922,6817.54454,3950.83512,6410.02023,2172.12879,2352.82355,6536.94094,14606.38452,3584.74072,7967.54995,-14537.42524,-5438.54839,3514.89461,6460.33107,4143.00901,6842.10002,8041.44059,9319.90563,6016.401
5,country,Ireland,621.911,1361.668,1458.175,1077.89,856.979,1442.925,2617.483,2028.79782,8862.21691,18210.64171,25779.43615,9650.92035,29323.79653,22781.29282,-10607.6127,-31689.3001,-5542.30682,24707.17373,-16452.92416,25715.32959,42804.07128,23544.70324,48883.84081,50610.26629,48247.04741,217866.4152,39413.5618,52834.92053,-12017.40256,149433.098,102519.0004,-3932.61218,-25058.33888,-9164.82851
5,country,Italy,6344.876,2481.577,3209.808,3746.619,2235.95,4816.515,3535.094,4961.472,4280.245,6911.1596,13374.7927,14870.56044,17054.88118,19424.38326,20125.86094,23291.29981,42580.92358,43849.3481,-10835.31695,20076.60004,9178.2609,34323.80396,92.51003,24279.30141,23253.88296,19635.12371,28468.51741,24047.08261,37681.92619,22719.74171,-18575.54374,-2952.1203,32176.94582,18219.36767
5,country,Latvia,0,0,31.5,44.11601,212.63243,178.29422,382.36405,522.33452,355.82953,346.45494,328.33978,105.18027,209.87248,279.89897,607.17811,706.36223,1663.44474,2323.99629,1264.14472,-22.22707,419.84253,1467.98173,1111.4052,901.78631,896.73588,738.93265,254.58812,742.19677,960.11677,925.80569,1003.99084,3303.39423,1403.71347,1212.10155
5,country,Lithuania,0,0,10,31.24036,31.33932,72.5575,152.43,354.4925,925.5,486.4575,378.8725,445.8125,724.97117,180.40949,844.42458,1134.59434,2023.35597,2289.43745,1793.95759,-448.09771,1019.54188,1798.97269,802.08764,573.88937,-133.39444,1055.05381,302.60565,1345.2966,971.54842,1440.52902,415.65677,2860.12674,2214.31851,1867.77172
5,country,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,4243.17436,4291.10568,5179.64344,4644.76948,32219.53464,-29679.42581,7117.11283,27255.15425,39128.52876,8843.15672,2824.12559,23299.02384,20060.31379,45432.15356,17580.97009,-27369.77666,-83336.48255,163717.5968,9838.88174,25122.59105,-359330.6403,-62807.62078
