level,type,Region/economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
5,country,Germany,24234.82265,22937.18741,18599.51334,17196.16892,18859.38415,39048.61387,50804.7077,41798.14424,88824.87057,108688.3821,57085.94435,39889.42202,18942.59282,5568.08542,20311.54073,74543.06571,116680.1833,169319.8807,71506.73161,68541.04992,125450.8142,77928.90298,62164.49054,39530.25965,86714.76094,88779.91457,70787.91371,86077.77025,97116.75044,151078.3901,38700.38583,147603.6495,145528.0195,101253.752
5,country,Greece,10.706,-25.741,46.498,-22.432,15.786,41.595,-25.368,155.663,-275.6,552.1,2136.53952,616.10187,652.47471,412.28666,1029.22277,1467.81575,4045.08111,5245.96312,2417.54861,2055.03144,1557.25818,1772.42113,677.50747,-785.57673,3019.14365,1578.16487,-1666.99012,168.33975,476.89591,641.53218,548.57808,1109.22017,3197.81514,3952.1647
5,country,Hungary,0,0,0.155,10.705,48.998,59.09326,-3.63912,461.48649,278.1252,249.97807,620.48097,408.83519,536.32714,2152.09173,1394.74206,2243.95186,4437.67706,4431.95408,2678.72985,1878.73749,1233.42519,4792.27336,11786.86451,1941.89202,3854.38774,-16109.68752,-8272.10635,1219.99694,3363.58314,3154.50114,4435.58371,4140.78165,4122.7219,3298.61933
5,country,Ireland,363.884,193.144,214.387,220.008,436.715,820.864,727.967,759.8069,3904.75667,6108.92293,4628.70831,4065.28801,11025.36351,5549.44844,18068.82594,14312.54042,15323.5124,21145.90262,18948.98744,26615.52589,22348.33685,-1164.93247,22546.74969,29177.2362,41233.90857,168479.9734,30085.67444,-2048.10158,5153.68954,32083.02921,-11400.26453,56145.87448,9395.29751,-6594.65421
5,country,Italy,7613.528,7326.115,5946.708,7221.316,5109.541,5731.796,6465.318,12242.238,16079.357,6721.52,6685.91487,16003.33957,11371.59851,2173.60959,14282.83573,39362.28424,43796.51781,96230.96527,66999.67041,21275.47257,32685.29955,53667.29918,8007.25176,25141.22954,26361.37792,21644.29158,16180.73543,24530.90227,31542.13885,24362.01129,2928.59215,26415.32642,16543.3898,13014.14299
5,country,Latvia,0,0,2.3,-4.81096,-63.29254,-66.25687,2.97776,6.08521,54.59851,16.67216,9.65543,14.17437,2.8234,45.14499,104.30053,128.09033,170.60972,369.54005,243.16109,-62.51363,41.05716,61.16591,192.72923,411.71393,542.02702,71.00854,160.50121,141.20943,206.6672,-104.11116,254.70985,2324.08509,114.78227,581.72224
5,country,Lithuania,0,0,0,0,0,1,0.1075,26.975,4.1825,8.6225,3.6975,7.0975,16.65234,37.99573,262.8746,393.27464,308.8914,554.1732,614.06965,554.89878,42.24914,749.44916,540.901,131.93439,58.98529,377.17741,43.15822,78.58022,699.47991,381.66255,-46.37318,1323.25008,366.77675,758.0987
5,country,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,10217.47479,850.69576,6773.195,8211.01921,10035.0305,71293.66503,11506.1574,8268.30573,23252.71739,10715.79818,-13397.25091,46620.62554,43420.61563,31919.44968,-1240.84036,15019.03503,21857.12329,176767.3149,148011.5499,52174.23187,-294198.546,-23678.69037
5,country,Malta,0,0,0,0.86845,3.10647,1.28874,72.85494,33.83718,21.26345,58.32988,20.02948,8.74002,-26.23025,544.77904,8729.63315,14262.71216,7528.94632,18682.86758,13982.82228,-4447.90406,-409.88656,9699.15869,2600.59129,2661.97463,2280.80587,5269.05581,5408.62279,7249.12733,7401.04774,6959.63062,7235.38388,24676.31941,24625.15059,20859.8244
5,country,Netherlands,14371.94377,13484.54395,13153.77156,9930.07959,17242.57293,19223.04191,31181.99699,24618.08363,36822.53929,57610.42459,75634.42049,50593.01483,32017.59917,55888.26162,40743.14131,119688.355,72582.76767,55605.10129,68491.59556,26272.39551,68358.17733,34793.94736,17935.12477,69722.95637,59435.38852,236303.2281,183385.6571,24863.01556,-44151.79056,31022.57309,-173902.863,92375.46334,38226.62443,-142184.5941
